English	172
Japanese	109
German	99
Chinese	97
Arabic	80
French	75
Natural Language	72
Korean	69
Spanish	62
Portuguese	51
Hindi	44
Mandarin Chinese	39
Russian	38
Indian Languages	36
Polish	36
Basque	34
Italian	34
Swedish	33
Czech	31
Turkish	27
Bulgarian	24
Mandarin	22
Dutch	21
Danish	20
Brazilian Portuguese	19
Hungarian	17
Norwegian	16
Latin	16
Bengali	15
Croatian	14
Urdu	13
Dialectal Arabic	13
Vietnamese	13
Thai	12
Telugu	12
Finnish	12
Hebrew	11
Sanskrit	11
Persian	10
Natural Languages	10
English and Chinese	9
Romanian	9
Irish	9
European Portuguese	9
Prolog	9
Bangla	9
Latvian	8
Learner English	8
Modern Greek	8
Modern Standard Arabic	8
Serbian	8
Marathi	8
Icelandic	7
Sign Language	7
Chinese Language	7
Tamil	6
Estonian	6
Amharic	6
Malayalam	6
Modern Hebrew	6
Sinhala	5
American Sign Language	5
American English	5
Chinese and Japanese	5
Arabic Dialects	5
English and French	5
German and English	4
Contemporary Written Japanese	4
Japanese and English	4
English and Spanish	4
Middle Low German	4
Maltese	4
Wolof	4
Arabic Language	4
Afrikaans	4
Gujarati	4
Indic Languages	4
Welsh	4
Greek	4
Farsi	4
Cantonese	4
Ancient Greek	4
Kannada	3
Spoken Japanese	3
Catalan and Spanish	3
Swedish Sign Language	3
R	3
Slavic Languages	3
Shipibo-Konibo	3
Spoken French	3
Kanji	3
French and English	3
Standard Arabic	3
Spoken German	3
Sign Languages	3
English and Japanese	3
Chinese and English	3
Learner Chinese	3
Chintang	3
English and German	3
Japanese Sign Language	3
Greece	3
Filipino	3
Tagalog	3
Spoken English	3
Spontaneous Japanese	3
Punjabi	3
English and Hindi	2
spoken learner English	2
Breton	2
Slovenian Language	2
Indonesian	2
Arabic and Hebrew	2
Basque Language	2
English and Arabic	2
Croatian and Serbian	2
Roman Urdu	2
English and Portuguese	2
Shahmukhi	2
Hindi and Telugu	2
English French and German	2
Swiss German	2
Persian Language	2
English and Hungarian	2
Erzya	2
Konkani Language	2
Arabic and English	2
Hindi and Marathi	2
Wambaya	2
written French	2
Spanish and French	2
Dravidian Languages	2
Russian Sign Language	2
Malagasy	2
Occitan	2
English Chinese and Japanese	2
Slavic	2
Spoken Danish	2
French and Italian	2
Malayalam Language	2
A Punjabi	2
Oral French	2
French Language	2
English Metalanguage	2
Slovenian	2
Egyptian Arabic	2
Hong Kong Cantonese	2
Romanian Language	2
Hindi Language	2
Amharic Tigrigna Oromo and Wolaytta	2
Spoken Dutch	2
Korean and English	2
Sindhi	2
Quranic Arabic	2
Palestinian Arabic	2
Vietnamese Language	2
Medieval French	2
Gulf Arabic	2
Japanese Dialects	2
Dutch medical language	2
Czech and English	2
Japanese and Korean	2
Informal Arabic	2
Spoken Estonian	2
Taiwan Mandarin	2
Old French	2
Indonesian Language	2
Classical Armenian Old Georgian and Syriac	1
Warao	1
English and Iraqi Arabic	1
Old Spanish	1
Turkish Offensive Language	1
German a Non-Configurational Language	1
Japanese and Spanish	1
Coptic	1
Ainu	1
Bulgarian and Croatian	1
Azerbaijani Turkish	1
French and French Belgian Sign Language	1
Turkic Languages	1
Telugu a Low Resource Language	1
Hebrew and Arabic	1
Braille	1
Mandarin Chinese English and Spanish	1
written Czech	1
English German and Dutch	1
Czech and German	1
Syriac and Arabic	1
Informal Written Arabic	1
Southern British English	1
Tuvan	1
New Caledonian French	1
Ogdens Basic English	1
Chinese and English (short paper)	1
Bengali Hindi and Telugu	1
Italian Sign Language	1
Automatic English	1
English and Mandarin	1
Clinical Finnish	1
Magahi and Bhojpuri without even knowing the alphabet	1
Spoken Brazilian Portuguese	1
Romanised Sanskrit	1
Afrikaans and Dutch	1
Odawa	1
Non-native English	1
Slovak Spanish English and Chinese	1
Vedic Sanskrit	1
colloquial Finnishto standard Finnish	1
Mandarin and Cantonese (Non-archival Extended Abstract)	1
Non-standard Contemporary and Diachronic Balkan Slavic	1
Evenki	1
Learning-to-Find English	1
Limited English	1
Ancient Chinese	1
Mandarin Chinese and Cantonese	1
Zero-shot North Korean	1
Kyrgyz	1
Spoken Cantonese and Written Chinese	1
Bangla Language	1
German and Dutch	1
Bengali and Hindi	1
Arabic Algerian Dialects	1
Old Hungarian	1
Controlled Korean	1
Russian and Romanian Languages	1
Classical Armenian	1
Levantine Arabic Dialects	1
Bambara	1
Murrinh-Patha	1
Japanese Learner English	1
Chinese Swedish English and Japanese	1
the Morphologically Rich and Free Phrase-Order Hungarian	1
written Italian	1
Syriac	1
French Japanese and Russian	1
Spanish Portuguese German and French	1
Bulgarian language	1
Old Czech	1
Chinese English and Malay	1
Mediterranean Languages	1
General Finnish	1
Chukchi	1
Hindi and English	1
Contemporary Written Czech	1
English and Chinese Text	1
from English	1
Setswana	1
Hong Kong Cantonese and Taiwan Mandarin	1
Multicultural London English	1
conversational French	1
French and Japanese	1
the Old Czech	1
English and Basque	1
Spanish Chinese and Japanese	1
Bosnian Croatian and Serbian	1
Medical English	1
Naija	1
Portuguese Sign Language	1
Emirati Arabic	1
Translated Chinese	1
Casual Czech	1
Konkani	1
a Syntactic Grammar of English	1
Irish Norwegian Croatian and Icelandic	1
dependency syntax and Finnish	1
Indian languages	1
modern standard Finnish	1
Arabic Language Varieties and Dialects	1
Dialectical Arabic	1
Historical German	1
Non-Native English	1
the RESEDA Metalanguage	1
Arabic and English Fora	1
Latvian Language	1
Swiss German and Swiss French	1
Written and Spoken Italian	1
Spoken Turkish	1
Spanish Language	1
English Hindi and Bangla Text	1
Clinical Swedish	1
Spoken Czech	1
Malayalam and Tamil Language	1
Second Language French	1
controlled Greek	1
Japanese and Chinese Input Method	1
Spanish Verb-Noun Combinations into Basque	1
written Chinese	1
Moroccan and Sanaani Yemeni Arabic	1
Swedish and German	1
Spoken Slovenian	1
Text-based Sinhala	1
Classical Portuguese	1
Basque and Spanish	1
Technical English	1
German French and English	1
Transformer-based Tamil	1
English Norwegian and Russian	1
Automatic Tense Translation between Chinese and English	1
A Limited-Domain English	1
Colloquial Arabic	1
Russian and Spanish	1
Algerian Arabic	1
Interactional Spoken Norwegian	1
Agglutinative Languages like Quechua and Finnish	1
Arabic Gulf Dialect	1
French Sign Language	1
Misused Chinese	1
Filipino Sign Language	1
Thai Language	1
Quebec French	1
Somali	1
Dravidian Language	1
Wolaytta	1
Laz	1
Old Swedish	1
German and Latin	1
Croatian and Serbian Verb Aspect	1
English and Polish	1
Greek Language	1
a Resource-Poor Language Malayalam	1
Azarbaijani Turkish	1
Japanese Students Learning Chinese	1
Classical Sanskrit	1
British English	1
Odia Language	1
Mandarin Chinese a Classifier Language	1
learner Hungarian	1
African American Vernacular English	1
Modern Standard Arabic and Modern Hebrew	1
German and Korean	1
English German and Swedish	1
Odia	1
spoken Dutch	1
Contemporary Hong Kong Cantonese	1
Historical English	1
spoken Basque	1
Biblical Hebrew	1
Quechua	1
Non-Native Spoken English	1
Spoken Standard German	1
Normative Standard Finnish	1
Early Modern German	1
the Syntactic Correspondence between Japanese and English	1
Simultaneous Spoken Turkish	1
spontaneous spoken French	1
Taiwanese (Min-nan) Hakka and Mandarin	1
English and Italian	1
User Defined Words m Japanese	1
Cebuano and Tagalog	1
Written Dutch	1
Child Mandarin	1
Learner Spanish	1
Mandarin and English	1
Hindi and Punjabi	1
Chinese Sign Language	1
everyday Spanish	1
Spoken Modern Standard Arabic	1
English Spanish French and Portuguese	1
Dutch Estonian German and Hungarian	1
Bhojpuri	1
Japan Kanji	1
Colloquial Singaporean English	1
Bulgarian and Czech	1
Scots and English	1
Chinese into English	1
Resource-Rich Language Tamil	1
Bosnian Serbo-Croatian and British English	1
Tamil Language	1
Young-old Old-old and Oldest-old Japanese	1
Japanese Hindi Bengali Greek and English	1
Tikopia \& Maori	1
Portuguese Language	1
written Dutch	1
African-American and Mainstream American English	1
Spontaneous Spoken French	1
Gagauz	1
spoken Brazilian Portuguese	1
Romanized Dialectal Arabic	1
English and German Wikipedia	1
spoken Malaysian Cantonese	1
Arapaho	1
Japanese Into English	1
the French language	1
Malaysian Language	1
Marathi And Hindi	1
English Turkish Greek Albanian Croatian Serbian Macedonian Bulgarian Romanian and Arabic	1
Spanish Dialects	1
Estonian and German	1
Korean -(ul) kes i and Mandarin Chinese hui	1
English Mandarin and Arabic	1
Abui	1
Contemporary Hebrew	1
Chinese Japanese and Korean	1
Egyptian and Levantine	1
Contemporary Written Dutch	1
Canadian English	1
Hiberno-English	1
Historic German	1
Czech Hebrew and Spanish	1
Arabic Dialect	1
spoken Slovenian	1
informal English	1
English and Russian Languages	1
Phrase-Pattern-based Korean	1
English Swedish and Bulgarian	1
European French	1
Chinese and Arabic	1
Iberian Languages	1
African-American English	1
German and English Treebanks and Lexica	1
the English Sublanguage	1
Medical French	1
Afrikaans Language	1
Spanish Farsi Arabic Russian and Korean	1
English-Urdu Arabic Persian	1
Singaporean Childrens English	1
Tunisian Arabic	1
Ordinary English	1
Korean and English Contrastive Topic	1
Lakota	1
Urdu and Hindi	1
Urdu Farsi and Italian	1
Modern Icelandic	1
Taiwanese Students Spoken English	1
Bulgarian Dialects	1
Spoken Swiss German	1
Malayalam language	1
Kunwinjku	1
Urdu Language	1
Venetan	1
Early Middle Japanese	1
Finnish Sign Language	1
spontaneous spoken Czech	1
Chinese and Russian	1
Improved Bengali	1
Cantonese and English	1
Chinese and Spanish	1
Basic English	1
English Chinese and Thai	1
Travel English	1
Typed Prolog	1
Casual Spanish	1
Romanian and German	1
Contemporary English	1
Cantonese Chinese	1
Italian Language	1
both Mainland Mandarin and Taiwan Mandarin	1
Malay	1
Natural Secret Languages	1
Hindi and Arabic	1
Spanish and Italian	1
English and Dutch	1
Tajiki Persian	1
English and Korean	1
Arabic and its Dialects	1
Arabic English Greek Chinese Romanian	1
Chinese Mandarin	1
Russian and German	1
Taiwanese	1
Serbian English and French	1
Bengali Language	1
Historical American English	1
Dutch and English	1
Modern British English	1
Mandarin Min-Nan and Hakka Speech	1
Japanese Korean English and German	1
Chinese and Japanese Language	1
Arabic English and French	1
Early Modern Dutch	1
Kven	1
Ainu Language	1
Chinese and Korean	1
German and Arabic	1
Portuguese and English	1
the highly inflected agglutinative language Hungarian	1
Philippine English	1
Newspaper Italian	1
the Basque language	1
Spoken Korean	1
Slovene Spanish and Swedish	1
the Dutch language	1
From European Portuguese	1
Chinese and Czech	1
Gascon Occitan	1
Japanese Kanji	1
written English	1
Japanese Spoken Language	1
Regional American English	1
English Language	1
French and Mandarin	1
French language	1
Diachronic Phonology and Latin	1
Python	1
German Causal Language	1
Spoken Portuguese	1
Printed Arabic	1
Egyptian Colloquial Arabic	1
Korean ordinary language	1
Spoken Colloquial Arabic	1
Contemporary Portuguese	1
Ancient Accadian	1
All Greek	1
Cool English	1
Spanish and Portuguese	1
the Romance languages	1
Italian and Spanish	1
American English and Arabic	1
Taizi Sanaani Najdi Jordanian Syrian Iraqi and Moroccan	1
Child European Portuguese	1
Medieval Latin	1
Chinese and Malay	1
English and Hindi Text	1
China English	1
German Learner Language	1
West African Languages	1
Magahi	1
Grammatical Variations between Singapore Mainland China and Taiwan Mandarin	1
Somali language	1
Qatari Arabic	1
Cypriot Greek	1
Bulgarian and English	1
Australian English	1
Translate English	1
System Error	1
simplified technical Spanish	1
Persian and Turkish	1
